"Package","Version"
"abind","1.4-8"
"AnnotationDbi","1.72.0"
"ape","5.8-1"
"aplot","0.2.9"
"arm","1.14-4"
"askpass","1.2.1"
"backports","1.5.0"
"base","4.5.2"
"base64enc","0.1-6"
"base64url","1.4"
"BH","1.90.0-1"
"Biobase","2.70.0"
"BiocGenerics","0.56.0"
"BiocIO","1.20.0"
"BiocManager","1.30.27"
"BiocParallel","1.44.0"
"BiocVersion","3.22.0"
"Biostrings","2.78.0"
"bit","4.6.0"
"bit64","4.6.0-1"
"bitops","1.0-9"
"blob","1.3.0"
"boot","1.3-32"
"broom","1.0.12"
"bslib","0.10.0"
"cachem","1.1.0"
"callr","3.7.6"
"car","3.1-5"
"carData","3.0-6"
"cellranger","1.1.0"
"checkmate","2.3.4"
"cigarillo","1.0.0"
"class","7.3-23"
"cli","3.6.5"
"clipr","0.8.0"
"clue","0.3-67"
"cluster","2.1.8.1"
"clusterProfiler","4.18.4"
"coda","0.19-4.1"
"codetools","0.2-20"
"colorspace","2.1-2"
"commonmark","2.0.0"
"compiler","4.5.2"
"conflicted","1.2.0"
"corpcor","1.6.10"
"corrplot","0.95"
"cowplot","1.2.0"
"cpp11","0.5.3"
"crayon","1.5.3"
"crosstalk","1.2.2"
"curl","7.0.0"
"data.table","1.18.2.1"
"datasets","4.5.2"
"DBI","1.3.0"
"dbplyr","2.5.1"
"DelayedArray","0.36.0"
"dendextend","1.19.1"
"Deriv","4.2.0"
"digest","0.6.39"
"doBy","4.7.1"
"DOSE","4.4.0"
"dplyr","1.2.0"
"DT","0.34.0"
"dtplyr","1.3.2"
"EGAnet","2.4.0"
"enrichplot","1.30.4"
"evaluate","1.0.5"
"farver","2.1.2"
"fastmap","1.2.0"
"fastmatch","1.1-8"
"fdrtool","1.2.18"
"fgsea","1.36.2"
"filelock","1.0.3"
"fontawesome","0.5.3"
"fontBitstreamVera","0.1.1"
"fontLiberation","0.1.0"
"fontquiver","0.2.1"
"forcats","1.0.1"
"forecast","9.0.1"
"foreign","0.8-91"
"formatR","1.14"
"Formula","1.2-5"
"fracdiff","1.5-3"
"fs","1.6.6"
"furrr","0.3.1"
"futile.logger","1.4.9"
"futile.options","1.0.1"
"future","1.69.0"
"future.apply","1.20.2"
"gargle","1.6.1"
"gdtools","0.4.4"
"generics","0.1.4"
"GenomicAlignments","1.46.0"
